column,left,right
country, 2, 4
schoolID, 5, 9
stidstd, 10, 14
subnatio, 16, 17
st01q02, 21, 22
st01q03, 23, 26
st02q01, 27, 28 
st03q01, 29, 29 
st04q01, 30, 30 
st04q02, 31, 31 
st04q03, 32, 32 
st04q04, 33, 33 
st04q05, 34, 34 
st04q06, 35, 35 
st04q07, 36, 36 
st04q08, 37, 37 
st05q01, 38, 38 
st05q02, 39, 39 
st05q03, 40, 40 
st06q01, 41, 41 
st07q01, 42, 42 
st09q01, 43, 46
st11q01, 47, 50
st12q01, 51, 51 
st13q01, 52, 52 
st14q01, 53, 53 
st15q01, 54, 54 
st16q01, 55, 55 
st16q02, 56, 56 
st16q03, 57, 57 
st17q01, 58, 58 
st18q01, 59, 59 
st18q02, 60, 60 
st18q03, 61, 61 
st18q04, 62, 62 
st18q05, 63, 63 
st18q06, 64, 64 
st19q01, 65, 65 
st19q02, 66, 66 
st19q03, 67, 67 
st19q04, 68, 68 
st19q05, 69, 69 
st19q06, 70, 70 
st20q01, 71, 71 
st20q02, 72, 72 
st20q03, 73, 73 
st20q04, 74, 74 
st20q05, 75, 75 
st20q06, 76, 76 
st21q01, 77, 77 
st21q02, 78, 78 
st21q03, 79, 79 
st21q04, 80, 80 
st21q05, 81, 81 
st21q06, 82, 82 
st21q07, 83, 83 
st21q08, 84, 84 
st21q09, 85, 85 
st21q10, 86, 86 
st21q11, 87, 87 
st22q01, 88, 88 
st22q02, 89, 89 
st22q03, 90, 90 
st22q04, 91, 91 
st22q05, 92, 92 
st22q06, 93, 93 
st22q07, 94, 94 
st23q01, 95, 95 
st23q02, 96, 96 
st23q03, 97, 97 
st23q04, 98, 98 
st24q01, 99, 99 
st24q02, 100, 100 
st24q03, 101, 101 
st24q04, 102, 102 
st24q05, 103, 103 
st24q06, 104, 104 
st24q07, 105, 105 
st25q01, 106, 106 
st26q01, 107, 107 
st26q02, 108, 108 
st26q03, 109, 109 
st26q04, 110, 110 
st26q05, 111, 111 
st26q06, 112, 112 
st26q07, 113, 113 
st26q08, 114, 114 
st26q09, 115, 115 
st26q10, 116, 116 
st26q11, 117, 117 
st26q12, 118, 118 
st26q13, 119, 119 
st26q14, 120, 120 
st26q15, 121, 121 
st26q16, 122, 122 
st26q17, 123, 123 
st27q01, 124, 125 
st27q02, 126, 126 
st27q03, 127, 128 
st27q04, 129, 129 
st27q05, 130, 131 
st27q06, 132, 132 
st28q01, 133, 134 
st28q02, 135, 136 
st28q03, 137, 138 
st29q01, 139, 139 
st29q02, 140, 140 
st29q03, 141, 141 
st30q01, 142, 142 
st30q02, 143, 143 
st30q03, 144, 144 
st30q04, 145, 145 
st30q05, 146, 146 
st31q01, 147, 147 
st31q02, 148, 148 
st31q03, 149, 149 
st31q04, 150, 150 
st31q05, 151, 151 
st31q06, 152, 152 
st31q07, 153, 153 
st31q08, 154, 154 
st32q01, 155, 155 
st32q02, 156, 156 
st32q03, 157, 157 
st32q04, 158, 158 
st32q05, 159, 159 
st32q06, 160, 160 
st32q07, 161, 161 
st33q01, 162, 162 
st33q02, 163, 163 
st33q03, 164, 164 
st34q01, 165, 165 
st35q01, 166, 166 
st35q02, 167, 167 
st35q03, 168, 168 
st35q04, 169, 169 
st35q05, 170, 170 
st35q06, 171, 171 
st35q07, 172, 172 
st35q08, 173, 173 
st35q09, 174, 174 
st36q01, 175, 175 
st36q02, 176, 176 
st36q03, 177, 177 
st36q04, 178, 178 
st36q05, 179, 179 
st36q06, 180, 180 
st37q01, 181, 182 
st38q01, 183, 183 
st39q01, 184, 184 
st39q02, 185, 185 
st39q03, 186, 186 
st39q04, 187, 187 
st39q05, 188, 188 
st40q01, 189, 192
st41q01, 193, 195 
st41q02, 196, 198 
st41q03, 199, 201 
st41q04, 202, 202 
st41q05, 203, 203 
st41q06, 204, 204 
st41q07, 205, 205 
st41q08, 206, 206 
st41q09, 207, 207 
bmmj, 209, 210 
bfmj, 211, 212 
bthr, 213, 214 
it01q01, 216, 216 
it01q02, 217, 217 
it01q03, 218, 218 
it01q04, 219, 219 
it02q01, 220, 220 
it02q02, 221, 221 
it02q03, 222, 222 
it03q01, 223, 223 
it04q01, 224, 224 
it04q02, 225, 225 
it04q03, 226, 226 
it04q04, 227, 227 
it05q01, 228, 228 
it05q02, 229, 229 
it05q03, 230, 230 
it05q04, 231, 231 
it06q01, 232, 232 
it06q02, 233, 233 
it06q03, 234, 234 
it06q04, 235, 235 
it06q05, 236, 236 
it07q01, 237, 237 
it08q01, 238, 238 
it09q01, 239, 239 
it10q01, 240, 240 
cc01q01, 242, 242 
cc01q02, 243, 243 
cc01q03, 244, 244 
cc01q04, 245, 245 
cc01q05, 246, 246 
cc01q06, 247, 247 
cc01q07, 248, 248 
cc01q08, 249, 249 
cc01q09, 250, 250 
cc01q10, 251, 251 
cc01q11, 252, 252 
cc01q12, 253, 253 
cc01q13, 254, 254 
cc01q14, 255, 255 
cc01q15, 256, 256 
cc01q16, 257, 257 
cc01q17, 258, 258 
cc01q18, 259, 259 
cc01q19, 260, 260 
cc01q20, 261, 261 
cc01q21, 262, 262 
cc01q22, 263, 263 
cc01q23, 264, 264 
cc01q24, 265, 265 
cc01q25, 266, 266 
cc01q26, 267, 267 
cc01q27, 268, 268 
cc01q28, 269, 269 
cc02q01, 270, 270 
cc02q02, 271, 271 
cc02q03, 272, 272 
cc02q04, 273, 273 
cc02q05, 274, 274 
cc02q06, 275, 275 
cc02q07, 276, 276 
cc02q08, 277, 277 
cc02q09, 278, 278 
cc02q10, 279, 279 
cc02q11, 280, 280 
cc02q12, 281, 281 
cc02q13, 282, 282 
cc02q14, 283, 283 
cc02q15, 284, 284 
cc02q16, 285, 285 
cc02q17, 286, 286 
cc02q18, 287, 287 
cc02q19, 288, 288 
cc02q20, 289, 289 
cc02q21, 290, 290 
cc02q22, 291, 291 
cc02q23, 292, 292 
cc02q24, 293, 293 
rmins, 295, 298 
mmins, 299, 302 
smins, 303, 306 
age, 307, 309 
famstruc, 310, 310 
nsib, 311, 312 
brthord, 313, 313 
isei, 314, 315 
hisei, 316, 317 
fisced, 318, 318 
misced, 319, 319 
cultcom, 321, 325 
soccom, 326, 330 
famedsup, 331, 335 
wealth, 336, 340 
hedres, 341, 345 
cultactv, 346, 350 
cultposs, 351, 355 
hmwktime, 356, 360 
teachsup, 361, 365 
disclima, 366, 370 
studrel, 371, 375 
achpress, 376, 380 
belong, 381, 385 
joyread, 386, 390 
divread, 391, 395 
comab, 397, 401 
comuse, 402, 406 
comatt, 407, 411 
cstrat, 412, 416 
effper, 417, 421 
memor, 422, 426 
selfef, 427, 431 
cexp, 432, 436 
elab, 437, 441 
insmot, 442, 446 
insmat, 447, 451 
matcon, 452, 456 
intrea, 457, 461 
scacad, 462, 466 
scverb, 467, 471 
comlrn, 472, 476 
coplrn, 477, 481 
wleread, 497, 503 
wlerr_r, 504, 510 
wleread1, 511, 517 
wlerr_r1, 518, 524 
wleread2, 525, 531 
wlerr_r2, 532, 538 
wleread3, 539, 545 
wlerr_r3, 546, 552 
pv1read, 603, 609 
pv2read, 610, 616 
pv3read, 617, 623 
pv4read, 624, 630 
pv5read, 631, 637 
pv1read1, 638, 644 
pv2read1, 645, 651 
pv3read1, 652, 658 
pv4read1, 659, 665 
pv5read1, 666, 672 
pv1read2, 673, 679 
pv2read2, 680, 686 
pv3read2, 687, 693 
pv4read2, 694, 700 
pv5read2, 701, 707 
pv1read3, 708, 714 
pv2read3, 715, 721 
pv3read3, 722, 728 
pv4read3, 729, 735 
pv5read3, 736, 742 
w_fstuwt, 779, 787 
cntrfac, 815, 823 
w_fstr1, 834, 842 
w_fstr2, 843, 851 
w_fstr3, 852, 860 
w_fstr4, 861, 869 
w_fstr5, 870, 878 
w_fstr6, 879, 887 
w_fstr7, 888, 896 
w_fstr8, 897, 905 
w_fstr9, 906, 914 
w_fstr10, 915, 923 
w_fstr11, 924, 932 
w_fstr12, 933, 941 
w_fstr13, 942, 950 
w_fstr14, 951, 959 
w_fstr15, 960, 968 
w_fstr16, 969, 977 
w_fstr17, 978, 986 
w_fstr18, 987, 995 
w_fstr19, 996, 1004 
w_fstr20, 1005, 1013 
w_fstr21, 1014, 1022 
w_fstr22, 1023, 1031 
w_fstr23, 1032, 1040 
w_fstr24, 1041, 1049 
w_fstr25, 1050, 1058 
w_fstr26, 1059, 1067 
w_fstr27, 1068, 1076 
w_fstr28, 1077, 1085 
w_fstr29, 1086, 1094 
w_fstr30, 1095, 1103 
w_fstr31, 1104, 1112 
w_fstr32, 1113, 1121 
w_fstr33, 1122, 1130 
w_fstr34, 1131, 1139 
w_fstr35, 1140, 1148 
w_fstr36, 1149, 1157 
w_fstr37, 1158, 1166 
w_fstr38, 1167, 1175 
w_fstr39, 1176, 1184 
w_fstr40, 1185, 1193 
w_fstr41, 1194, 1202 
w_fstr42, 1203, 1211 
w_fstr43, 1212, 1220 
w_fstr44, 1221, 1229 
w_fstr45, 1230, 1238 
w_fstr46, 1239, 1247 
w_fstr47, 1248, 1256 
w_fstr48, 1257, 1265 
w_fstr49, 1266, 1274 
w_fstr50, 1275, 1283 
w_fstr51, 1284, 1292 
w_fstr52, 1293, 1301 
w_fstr53, 1302, 1310 
w_fstr54, 1311, 1319 
w_fstr55, 1320, 1328 
w_fstr56, 1329, 1337 
w_fstr57, 1338, 1346 
w_fstr58, 1347, 1355 
w_fstr59, 1356, 1364 
w_fstr60, 1365, 1373 
w_fstr61, 1374, 1382 
w_fstr62, 1383, 1391 
w_fstr63, 1392, 1400 
w_fstr64, 1401, 1409 
w_fstr65, 1410, 1418 
w_fstr66, 1419, 1427 
w_fstr67, 1428, 1436 
w_fstr68, 1437, 1445 
w_fstr69, 1446, 1454 
w_fstr70, 1455, 1463 
w_fstr71, 1464, 1472 
w_fstr72, 1473, 1481 
w_fstr73, 1482, 1490 
w_fstr74, 1491, 1499 
w_fstr75, 1500, 1508 
w_fstr76, 1509, 1517 
w_fstr77, 1518, 1526 
w_fstr78, 1527, 1535 
w_fstr79, 1536, 1544 
w_fstr80, 1545, 1553
cnt, 1555, 1557